"","frequency","c.w","rho.w","theta","L","scale","f1","f2","sigma","TS"
"31",42000,1490,1026.8,65,0.393,0.393,-0.00097369744497724+0.00192348479872827i,0.00210132111919472-0.00104821065514789i,0.00142745927335111,-56.9087254740583
"32",43000,1490,1026.8,65,0.393,0.393,0.00173065814036215-0.00027606656866815i,-0.00169623718679089-0.00016327278887766i,0.000440685685192425,-67.1174211292575
"33",44000,1490,1026.8,65,0.393,0.393,-0.00074746083381542-0.00135033115187946i,6.5398517284567e-04+9.43595983365075e-04i,0.000417338227940064,-67.5902366468621
"34",45000,1490,1026.8,65,0.393,0.393,-0.0011220848745593+0.00154108440874007i,6.32875376178557e-04-9.88052615138685e-04i,0.000738356348953472,-62.6346797274272
"35",46000,1490,1026.8,65,0.393,0.393,0.00222427933421546-0.00017217431181299i,-0.00166822836693954+0.00030477769640668i,0.000571643539116983,-64.8574940133617
"36",47000,1490,1026.8,65,0.393,0.393,-0.00153711756268363-0.0014802553973832i,0.00207265130436294+0.00079305145939914i,0.000871232254257062,-61.1973210951062
"37",48000,1490,1026.8,65,0.393,0.393,-0.00042562569335687+0.00185384415745952i,-0.00174569495704144-0.00183118586496001i,0.00217143886975092,-53.2650478473664
"38",49000,1490,1026.8,65,0.393,0.393,0.00202739375887039-0.00048185656519057i,0.0008991952436104+0.00238427466686028i,0.00349057557187953,-49.1420590993201
"39",50000,1490,1026.8,65,0.393,0.393,-0.00190051619335184-0.00155594243032065i,4.71922042849e-05-2.25488121233296e-03i,0.00423759208087078,-47.4576170334547
"40",51000,1490,1026.8,65,0.393,0.393,0.00012948824150544+0.00252220191428164i,-0.00065406399262815+0.00154402447786015i,0.00409992399817563,-47.7444838776973
"41",52000,1490,1026.8,65,0.393,0.393,0.00179649810440282-0.00150661043761889i,6.45552765549269e-04-5.89745438758702e-04i,0.00321843446598755,-49.8471065916587
"42",53000,1490,1026.8,65,0.393,0.393,-0.00223741386163819-0.00076382143182984i,-8.278578604549e-06-1.88613653649002e-04i,0.00243931693886106,-52.2546353684197
"43",54000,1490,1026.8,65,0.393,0.393,0.00080111496692152+0.00249788153509143i,-0.00102867115848202+0.00046362581517113i,0.00297023696125017,-50.5441780381795
"44",55000,1490,1026.8,65,0.393,0.393,0.00131047536547035-0.00232828348054932i,0.00211024966627715-0.00011356222503784i,0.00420285262562446,-47.5291167680579
"45",56000,1490,1026.8,65,0.393,0.393,-0.00231445942108896+0.00045748766802349i,-0.0029047844316174-0.00076435599780893i,0.00522825731633767,-45.6328609225356
"46",57000,1490,1026.8,65,0.393,0.393,0.00136427615173072+0.00151589568129472i,0.00321571692546697+0.0019308019730322i,0.00573202070020002,-44.8338449978511
"47",58000,1490,1026.8,65,0.393,0.393,0.00072235242609854-0.00194893133970133i,-0.00301324293321901-0.00312016201239764i,0.00556272295983799,-45.0942513735712
"48",59000,1490,1026.8,65,0.393,0.393,-0.0021521834850036+0.00053826764965813i,0.00238889065011302+0.00413360564532088i,0.00467786600560044,-46.5990444485783
